#
# $Id: antenna.dat,v 3.26 92/03/24 22:32:36 woo Exp Locker: woo $
#
   0.000  90.007E-01 -35.926E+00 -71.297E+00  90.783E-01
   2.000  81.667E-01  13.355E-02 -32.735E+00  89.007E-01
   4.000  60.696E-01  40.782E-01 -28.040E+00  83.501E-01
   6.000  33.053E-01  48.742E-01 -26.062E+00  73.795E-01
   8.000  13.100E-02  42.554E-01 -25.105E+00  59.101E-01
  10.000 -34.589E-01  26.769E-01 -24.794E+00  38.084E-01
  12.000 -76.407E-01  15.917E-02 -25.211E+00  82.257E-02
  14.000 -12.849E+00 -36.543E-01 -26.702E+00 -36.253E-01
  16.000 -20.405E+00 -10.185E+00 -30.112E+00 -11.564E+00
  18.000 -41.802E+00 -37.181E+00 -39.114E+00 -24.830E+00
  20.000 -25.979E+00 -11.868E+00 -38.677E+00 -10.860E+00
  22.000 -22.060E+00 -71.064E-01 -29.743E+00 -74.312E-01
  24.000 -21.258E+00 -52.193E-01 -26.432E+00 -62.183E-01
  26.000 -22.103E+00 -48.803E-01 -25.429E+00 -59.416E-01
  28.000 -24.356E+00 -58.580E-01 -26.299E+00 -60.712E-01
  30.000 -28.216E+00 -83.757E-01 -29.576E+00 -64.985E-01
  32.000 -33.989E+00 -13.340E+00 -38.930E+00 -75.039E-01
  34.000 -37.632E+00 -21.690E+00 -37.458E+00 -96.424E-01
  36.000 -35.691E+00 -16.286E+00 -29.566E+00 -13.578E+00
  38.000 -35.220E+00 -12.594E+00 -27.052E+00 -15.787E+00
  40.000 -36.549E+00 -12.197E+00 -27.142E+00 -11.075E+00
  42.000 -38.418E+00 -14.735E+00 -29.897E+00 -76.375E-01
  44.000 -39.287E+00 -23.397E+00 -38.646E+00 -60.943E-01
  46.000 -39.287E+00 -23.397E+00 -38.646E+00 -60.943E-01
  48.000 -38.418E+00 -14.735E+00 -29.897E+00 -76.375E-01
  50.000 -36.549E+00 -12.197E+00 -27.142E+00 -11.075E+00
  52.000 -35.220E+00 -12.594E+00 -27.052E+00 -15.787E+00
  54.000 -35.691E+00 -16.286E+00 -29.566E+00 -13.578E+00
  56.000 -37.632E+00 -21.690E+00 -37.458E+00 -96.424E-01
  58.000 -33.989E+00 -13.340E+00 -38.930E+00 -75.039E-01
